noise_level,model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,denoising_gain_mean,denoising_gain_std
0.0,dt,0.9807,0.0,0.9816,0.0,-0.019299999999999984,0.0
0.1,dt,0.9741122913505311,0.0015645203543285782,0.9691718003771411,0.0025365326826697824,0.0741122913505311,0.0015645203543285615
0.15,dt,0.9724734446130501,0.0017715871165641132,0.9654459284300145,0.0032234538305687087,0.1224734446130501,0.0017715871165641095
0.2,dt,0.9674051593323216,0.0019444696181658916,0.9577331137244707,0.0037900592252790425,0.1674051593323217,0.0019444696181659088
0.0,rf,0.9822,0.0,0.9814,0.0,-0.017800000000000038,0.0
0.1,rf,0.9783915022761761,0.0006666428721240487,0.9766566240163297,0.0008222607172220876,0.078391502276176,0.0006666428721240643
0.15,rf,0.977784522003035,0.0010380959864332738,0.9759032360243978,0.001459340008671424,0.127784522003035,0.001038095986433252
0.2,rf,0.9760242792109256,0.0010235764463757241,0.9733663795602439,0.0013053809093414692,0.17602427921092564,0.0010235764463757016
0.0,xgb,0.9865,0.0,0.9866,0.0,-0.013499999999999956,0.0
0.1,xgb,0.9806676783004551,0.0012723079706376495,0.9792640573329982,0.0016347814224923446,0.08066767830045521,0.0012723079706376482
0.15,xgb,0.9789377845220031,0.0012346492022341608,0.9766486618768484,0.002104374248556153,0.12893778452200308,0.0012346492022341647
0.2,xgb,0.9783004552352048,0.001459437333966027,0.9759770252091359,0.0024223464622570774,0.17830045523520482,0.001459437333966022
