variant,model,accuracy,f1_macro,f1_shelf_picking,f1_front_zone_bin,f1_special_zone,f1_floor_block,f1_pallet_rack
reference_full,dt,0.9807,0.9816,0.9849,0.983,0.9562,0.9869,0.997
reference_full,rf,0.9822,0.9814,0.9875,0.9827,0.9653,0.9813,0.9901
reference_full,xgb,0.9865,0.9866,0.9905,0.9865,0.9713,0.9897,0.995
variant_a_zero,dt,0.6815,0.6879,0.7311,0.0134,0.9146,0.8057,0.9747
variant_a_zero,rf,0.5824,0.6883,0.3374,0.5211,0.9536,0.6609,0.9686
variant_a_zero,xgb,0.5607,0.6419,0.0697,0.5616,0.9641,0.6405,0.9735
variant_b_median,dt,0.7027,0.7043,0.7509,0.0053,0.9487,0.8416,0.9747
variant_b_median,rf,0.7036,0.7047,0.7513,0.0011,0.9595,0.8389,0.9728
variant_b_median,xgb,0.707,0.707,0.7544,0.0,0.9644,0.8437,0.9728
variant_c_no_feature,dt,0.7266,0.7966,0.7007,0.5398,0.9547,0.8066,0.9812
variant_c_no_feature,rf,0.748,0.8095,0.7391,0.5148,0.9699,0.8478,0.9756
variant_c_no_feature,xgb,0.7721,0.8305,0.7504,0.6052,0.9683,0.8525,0.9762
rules_no_turnover,rules,0.7165,0.7168,0.7601,0.0,1.0,0.8473,0.9767
